#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.417226E+00   0.407670E+04   0.266636E+04   0.182501E+00   0.182055E+00   0.000000E+00   0.385508E+04   0.385508E+04   0.385508E+04  -0.113903E-01   0.379298E+04   0.358050E+04   0.107331E+01
   0.461106E+00   0.350277E+04   0.230676E+04   0.128537E+00   0.128223E+00   0.000000E+00   0.331482E+04   0.331482E+04   0.331483E+04  -0.979402E-02   0.326075E+04   0.308288E+04   0.812978E+00
   0.509601E+00   0.300150E+04   0.197058E+04   0.901346E-01   0.899140E-01   0.000000E+00   0.283950E+04   0.283950E+04   0.283950E+04  -0.838960E-02   0.279336E+04   0.263955E+04   0.636120E+00
   0.563196E+00   0.256915E+04   0.168572E+04   0.631605E-01   0.630059E-01   0.000000E+00   0.243032E+04   0.243032E+04   0.243032E+04  -0.718064E-02   0.239086E+04   0.225888E+04   0.493876E+00
   0.622428E+00   0.219620E+04   0.144176E+04   0.442094E-01   0.441012E-01   0.000000E+00   0.207764E+04   0.207764E+04   0.207765E+04  -0.613861E-02   0.204387E+04   0.193126E+04   0.381279E+00
   0.687889E+00   0.187474E+04   0.123105E+04   0.308994E-01   0.308238E-01   0.000000E+00   0.177359E+04   0.177359E+04   0.177359E+04  -0.524024E-02   0.174473E+04   0.164872E+04   0.294140E+00
   0.760235E+00   0.159828E+04   0.104966E+04   0.215686E-01   0.215158E-01   0.000000E+00   0.151207E+04   0.151207E+04   0.151207E+04  -0.446757E-02   0.148745E+04   0.140567E+04   0.226725E+00
   0.840190E+00   0.136090E+04   0.893824E+03   0.150365E-01   0.149997E-01   0.000000E+00   0.128750E+04   0.128750E+04   0.128750E+04  -0.380404E-02   0.126652E+04   0.119692E+04   0.174592E+00
   0.928553E+00   0.115741E+04   0.760219E+03   0.104703E-01   0.104446E-01   0.000000E+00   0.109499E+04   0.109499E+04   0.109499E+04  -0.323526E-02   0.107715E+04   0.101798E+04   0.134303E+00
   0.102621E+01   0.983256E+03   0.645859E+03   0.728262E-02   0.726480E-02   0.000000E+00   0.930237E+03   0.930237E+03   0.930237E+03  -0.274848E-02   0.915070E+03   0.864819E+03   0.103203E+00
   0.113414E+01   0.834406E+03   0.548106E+03   0.505996E-02   0.504757E-02   0.000000E+00   0.789416E+03   0.789416E+03   0.789416E+03  -0.233241E-02   0.776541E+03   0.733911E+03   0.792205E-01
   0.125341E+01   0.707381E+03   0.464683E+03   0.351214E-02   0.350354E-02   0.000000E+00   0.669243E+03   0.669243E+03   0.669243E+03  -0.197734E-02   0.658324E+03   0.622193E+03   0.607523E-01
   0.138524E+01   0.599102E+03   0.393567E+03   0.243537E-02   0.242941E-02   0.000000E+00   0.566803E+03   0.566803E+03   0.566803E+03  -0.167468E-02   0.557553E+03   0.526961E+03   0.465449E-01
   0.153093E+01   0.506931E+03   0.333027E+03   0.168718E-02   0.168305E-02   0.000000E+00   0.479604E+03   0.479604E+03   0.479604E+03  -0.141704E-02   0.471774E+03   0.445895E+03   0.356280E-01
   0.169193E+01   0.428560E+03   0.281550E+03   0.116781E-02   0.116495E-02   0.000000E+00   0.405459E+03   0.405459E+03   0.405459E+03  -0.119797E-02   0.398838E+03   0.376964E+03   0.272481E-01
   0.186988E+01   0.361996E+03   0.237825E+03   0.807622E-03   0.805645E-03   0.000000E+00   0.342483E+03   0.342483E+03   0.342483E+03  -0.101190E-02   0.336890E+03   0.318416E+03   0.208219E-01
   0.206653E+01   0.305525E+03   0.200730E+03   0.558081E-03   0.556715E-03   0.000000E+00   0.289057E+03   0.289057E+03   0.289057E+03  -0.854048E-03   0.284335E+03   0.268746E+03   0.158987E-01
   0.228387E+01   0.257663E+03   0.169288E+03   0.385343E-03   0.384399E-03   0.000000E+00   0.243775E+03   0.243775E+03   0.243775E+03  -0.720258E-03   0.239792E+03   0.226647E+03   0.121304E-01
   0.252407E+01   0.217136E+03   0.142664E+03   0.265872E-03   0.265221E-03   0.000000E+00   0.205433E+03   0.205433E+03   0.205433E+03  -0.606972E-03   0.202076E+03   0.191000E+03   0.924855E-02
   0.278953E+01   0.182855E+03   0.120142E+03   0.183312E-03   0.182863E-03   0.000000E+00   0.173000E+03   0.173000E+03   0.173000E+03  -0.511145E-03   0.170172E+03   0.160846E+03   0.704651E-02
   0.308291E+01   0.153879E+03   0.101106E+03   0.126302E-03   0.125993E-03   0.000000E+00   0.145587E+03   0.145587E+03   0.145587E+03  -0.430149E-03   0.143206E+03   0.135358E+03   0.536520E-02
   0.340714E+01   0.129412E+03   0.850308E+02   0.869655E-04   0.867526E-04   0.000000E+00   0.122437E+03   0.122437E+03   0.122437E+03  -0.361753E-03   0.120436E+03   0.113836E+03   0.408250E-02
   0.376547E+01   0.108766E+03   0.714661E+02   0.598424E-04   0.596959E-04   0.000000E+00   0.102904E+03   0.102904E+03   0.102904E+03  -0.304041E-03   0.101222E+03   0.956748E+02   0.310458E-02
